Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
12/30/2022,PP,AAPL,037833100,APPLE INC,10420.0,129.61,1350536.2,13.38%,10091537.5,575000,23,
12/30/2022,PP,ADSK,052769106,AUTODESK INC,1120.0,188.12,210694.4,2.09%,10091537.5,575000,23,
12/30/2022,PP,AMD,007903107,ADVANCED MICRO DEVICES INC,6407.0,64.82,415301.74,4.12%,10091537.5,575000,23,
12/30/2022,PP,ENPH,29355A107,ENPHASE ENERGY INC,1044.0,265.49,277171.56,2.75%,10091537.5,575000,23,
12/30/2022,PP,ERJ,29082A107,EMBRAER S.A.,49002.0,10.93,535591.86,5.31%,10091537.5,575000,23,
12/30/2022,PP,ETSY,29786A106,ETSY INC,1661.0,122.68,203771.48,2.02%,10091537.5,575000,23,
12/30/2022,PP,GNRC,368736104,GENERAC HLDGS INC,3443.0,100.64,346503.52,3.43%,10091537.5,575000,23,
12/30/2022,PP,LULU,550021109,LULULEMON ATHLETICA INC,1364.0,316.82,432142.48,4.28%,10091537.5,575000,23,
12/30/2022,PP,NVDA,67066G104,NVIDIA CORPORATION,2609.0,146.03,380992.27,3.78%,10091537.5,575000,23,
12/30/2022,PP,OXY,674599105,OCCIDENTAL PETE CORP,1657.0,62.28,103197.96,1.02%,10091537.5,575000,23,
12/30/2022,PP,SEDG,83417M104,SOLAREDGE TECHNOLOGIES INC,999.0,280.66,280379.34,2.78%,10091537.5,575000,23,
12/30/2022,PP,TSLA,88160R101,TESLA INC,21319.0,121.82,2597080.58,25.74%,10091537.5,575000,23,
12/30/2022,PP,TSM,874039100,TAIWAN SEMICONDUCTOR MFG LTD SPONSORED ADS,8314.0,76.0,631864.0,6.26%,10091537.5,575000,23,
12/30/2022,PP,TTD,88339J105,THE TRADE DESK INC,19260.0,45.34,873248.4,8.65%,10091537.5,575000,23,
12/30/2022,PP,UDN,46141D104,INVESCO DB US DLR INDEX TR BEARISH FD,5638.0,18.42,103851.96,1.03%,10091537.5,575000,23,
12/30/2022,PP,UTWO,74933W486,RBB FD INC US TREASY 2 YR,27209.0,48.875,1329839.88,13.18%,10091537.5,575000,23,
12/30/2022,PP,Cash&Other,Cash&Other,Cash & Other,19500.76,1.0,19500.76,0.19%,10091537.5,575000,23,Y
